Airline,Date,Value,Status,Country,Region,IATA,Revenue,EBITDA
American Airlines,2000'Q1,18223.0,public,US,North America,AA,4.0,13.0
Delta Air Lines,2000'Q1,16101.0,public,US,North America,DL,8.0,18.0
Southwest Airlines,2000'Q1,4964.0,public,US,North America,WN,15.0,22.0
United Airlines,2000'Q1,18358.0,public,US,North America,UA,4.0,12.0
Alaska Air,2000'Q1,2110.0,public,US,North America,AS,9.0,14.0
Hawaiian,2000'Q1,518.0,public,US,North America,HA,17.0,5.0
SkyWest,2000'Q1,489.0,public,US,North America,OO,20.0,24.0
Northwest Airlines,2000'Q1,10410.0,merged with Delta 2008,US,North America,NW,12.0,12.0
TWA,2000'Q1,2482.0,"bankrupt 2001, acquired by AA",US,North America,TW,2.0,0.0
Air Canada,2000'Q1,4934.0,public,CA,North America,AC,22.0,13.0
WestJet Airlines,2000'Q1,161.0,public,CA,North America,WS,68.0,23.0
IAG,2000'Q1,14200.0,public,EU,Europe,IAG,-3.0,12.0
Air France-KLM,2000'Q1,12900.0,public,EU,Europe,AF/KL,-3.0,13.0
Ryanair,2000'Q1,373.0,public,EU,Europe,FR,14.0,35.0
Deutsche Lufthansa,2000'Q1,16375.0,public,EU,Europe,LH,-4.0,13.0
Finnair,2000'Q1,1533.0,public,EU,Europe,AY,-3.0,12.0
Singapore Airlines,2000'Q1,5462.0,public,SG,Asia Pacific,SQ,15.0,25.0
Japan Airlines,2000'Q1,14764.0,public,JP,Asia Pacific,JL,9.0,9.0
ANA Holdings,2000'Q1,11153.0,public,JP,Asia Pacific,NH,19.0,8.0
Korean Air,2000'Q1,4427.0,public,KR,Asia Pacific,KE,9.0,6.0
Cathay Pacific,2000'Q1,3910.0,public,HK,Asia Pacific,CX,9.0,25.0
LATAM Airlines,2000'Q1,1310.0,public,CL,Latin America,LA,14.0,7.0
China Eastern,2000'Q1,1338.0,public,CN,China,MU,26.0,33.0
China Southern,2000'Q1,1663.0,public,CN,China,CZ,11.0,26.0
Hainan Airlines,2000'Q1,240.0,public,CN,China,HU,32.0,29.0
SpiceJet,2000'Q1,0.0,public,IN,India,SG,100.0,-50.0
Kenya Airlines,2000'Q1,253.0,public,KE,Africa,KQ,19.0,12.0
Comair,2000'Q1,112.0,public,ZA,Africa,MN,100.0,18.0
Emirates,2000'Q1,1609.0,private,AE,Middle East,EK,18.0,4.0
Aeroflot,2000'Q1,1226.0,"taken private 2023, war",RU,Russia,SU,-8.0,13.0
American Airlines,2000'Q2,18717.0,public,US,North America,AA,6.0,13.0
Delta Air Lines,2000'Q2,16315.0,public,US,North America,DL,7.0,18.0
Southwest Airlines,2000'Q2,5193.0,public,US,North America,WN,17.0,22.0
United Airlines,2000'Q2,18690.0,public,US,North America,UA,5.0,11.0
Alaska Air,2000'Q2,2138.0,public,US,North America,AS,8.0,11.0
Hawaiian,2000'Q2,548.0,public,US,North America,HA,19.0,4.0
SkyWest,2000'Q2,503.0,public,US,North America,OO,17.0,23.0
Northwest Airlines,2000'Q2,10687.0,merged with Delta 2008,US,North America,NW,11.0,11.0
TWA,2000'Q2,1654.0,"bankrupt 2001, acquired by AA",US,North America,TW,2.0,0.0
Air Canada,2000'Q2,5359.0,public,CA,North America,AC,27.0,13.0
WestJet Airlines,2000'Q2,181.0,public,CA,North America,WS,65.0,24.0
IAG,2000'Q2,14000.0,public,EU,Europe,IAG,-4.0,12.0
Air France-KLM,2000'Q2,12700.0,public,EU,Europe,AF/KL,-4.0,13.0
Ryanair,2000'Q2,392.0,public,EU,Europe,FR,17.0,35.0
Deutsche Lufthansa,2000'Q2,16050.0,public,EU,Europe,LH,-5.0,13.0
Finnair,2000'Q2,1435.0,public,EU,Europe,AY,-10.0,13.0
Singapore Airlines,2000'Q2,5529.0,public,SG,Asia Pacific,SQ,11.0,25.0
Japan Airlines,2000'Q2,14427.0,public,JP,Asia Pacific,JL,3.0,9.0
ANA Holdings,2000'Q2,10878.0,public,JP,Asia Pacific,NH,9.0,9.0
Korean Air,2000'Q2,4463.0,public,KR,Asia Pacific,KE,7.0,5.0
Cathay Pacific,2000'Q2,4095.0,public,HK,Asia Pacific,CX,13.0,25.0
LATAM Airlines,2000'Q2,1354.0,public,CL,Latin America,LA,14.0,8.0
China Eastern,2000'Q2,1348.0,public,CN,China,MU,18.0,32.0
China Southern,2000'Q2,1720.0,public,CN,China,CZ,12.0,24.0
Hainan Airlines,2000'Q2,255.0,public,CN,China,HU,31.0,29.0
SpiceJet,2000'Q2,0.0,public,IN,India,SG,100.0,-50.0
Kenya Airlines,2000'Q2,266.0,public,KE,Africa,KQ,20.0,12.0
Comair,2000'Q2,123.0,public,ZA,Africa,MN,100.0,17.0
Emirates,2000'Q2,1700.0,private,AE,Middle East,EK,20.0,9.0
Aeroflot,2000'Q2,1287.0,"taken private 2023, war",RU,Russia,SU,2.0,13.0
American Airlines,2000'Q3,19210.0,public,US,North America,AA,9.0,13.0
Delta Air Lines,2000'Q3,16528.0,public,US,North America,DL,6.0,18.0
Southwest Airlines,2000'Q3,5421.0,public,US,North America,WN,18.0,23.0
United Airlines,2000'Q3,19021.0,public,US,North America,UA,6.0,10.0
Alaska Air,2000'Q3,2166.0,public,US,North America,AS,6.0,9.0
Hawaiian,2000'Q3,578.0,public,US,North America,HA,22.0,4.0
SkyWest,2000'Q3,517.0,public,US,North America,OO,14.0,22.0
Northwest Airlines,2000'Q3,10963.0,merged with Delta 2008,US,North America,NW,11.0,11.0
TWA,2000'Q3,827.0,"bankrupt 2001, acquired by AA",US,North America,TW,2.0,0.0
Air Canada,2000'Q3,5783.0,public,CA,North America,AC,32.0,14.0
WestJet Airlines,2000'Q3,202.0,public,CA,North America,WS,61.0,24.0
IAG,2000'Q3,13800.0,public,EU,Europe,IAG,-5.0,12.0
Air France-KLM,2000'Q3,12500.0,public,EU,Europe,AF/KL,-5.0,14.0
Ryanair,2000'Q3,411.0,public,EU,Europe,FR,19.0,35.0
Deutsche Lufthansa,2000'Q3,15725.0,public,EU,Europe,LH,-6.0,13.0
Finnair,2000'Q3,1337.0,public,EU,Europe,AY,-17.0,14.0
Singapore Airlines,2000'Q3,5597.0,public,SG,Asia Pacific,SQ,8.0,25.0
Japan Airlines,2000'Q3,14089.0,public,JP,Asia Pacific,JL,-3.0,10.0
ANA Holdings,2000'Q3,10603.0,public,JP,Asia Pacific,NH,0.0,10.0
Korean Air,2000'Q3,4498.0,public,KR,Asia Pacific,KE,5.0,5.0
Cathay Pacific,2000'Q3,4280.0,public,HK,Asia Pacific,CX,16.0,25.0
LATAM Airlines,2000'Q3,1398.0,public,CL,Latin America,LA,14.0,9.0
China Eastern,2000'Q3,1358.0,public,CN,China,MU,11.0,32.0
China Southern,2000'Q3,1777.0,public,CN,China,CZ,13.0,22.0
Hainan Airlines,2000'Q3,271.0,public,CN,China,HU,29.0,30.0
SpiceJet,2000'Q3,1.0,public,IN,India,SG,100.0,-50.0
Kenya Airlines,2000'Q3,278.0,public,KE,Africa,KQ,21.0,12.0
Comair,2000'Q3,133.0,public,ZA,Africa,MN,100.0,17.0
Emirates,2000'Q3,1791.0,private,AE,Middle East,EK,22.0,13.0
Aeroflot,2000'Q3,1347.0,"taken private 2023, war",RU,Russia,SU,11.0,13.0
American Airlines,2000'Q4,19703.0,public,US,North America,AA,11.0,13.0
Delta Air Lines,2000'Q4,16741.0,public,US,North America,DL,5.0,18.0
Southwest Airlines,2000'Q4,5650.0,public,US,North America,WN,19.0,23.0
United Airlines,2000'Q4,19352.0,public,US,North America,UA,7.0,9.0
Alaska Air,2000'Q4,2194.0,public,US,North America,AS,5.0,6.0
Hawaiian,2000'Q4,607.0,public,US,North America,HA,24.0,3.0
SkyWest,2000'Q4,531.0,public,US,North America,OO,12.0,21.0
Northwest Airlines,2000'Q4,11240.0,merged with Delta 2008,US,North America,NW,11.0,11.0
Air Canada,2000'Q4,6208.0,public,CA,North America,AC,38.0,14.0
WestJet Airlines,2000'Q4,222.0,public,CA,North America,WS,57.0,25.0
IAG,2000'Q4,13600.0,public,EU,Europe,IAG,-6.0,12.0
Air France-KLM,2000'Q4,12300.0,public,EU,Europe,AF/KL,-6.0,14.0
Ryanair,2000'Q4,430.0,public,EU,Europe,FR,22.0,36.0
Deutsche Lufthansa,2000'Q4,15400.0,public,EU,Europe,LH,-8.0,13.0
Finnair,2000'Q4,1239.0,public,EU,Europe,AY,-24.0,15.0
Singapore Airlines,2000'Q4,5664.0,public,SG,Asia Pacific,SQ,5.0,25.0
Japan Airlines,2000'Q4,13751.0,public,JP,Asia Pacific,JL,-9.0,10.0
ANA Holdings,2000'Q4,10328.0,public,JP,Asia Pacific,NH,-10.0,11.0
Korean Air,2000'Q4,4533.0,public,KR,Asia Pacific,KE,3.0,5.0
Cathay Pacific,2000'Q4,4464.0,public,HK,Asia Pacific,CX,20.0,25.0
LATAM Airlines,2000'Q4,1442.0,public,CL,Latin America,LA,14.0,9.0
China Eastern,2000'Q4,1368.0,public,CN,China,MU,3.0,31.0
China Southern,2000'Q4,1834.0,public,CN,China,CZ,14.0,20.0
Hainan Airlines,2000'Q4,286.0,public,CN,China,HU,27.0,30.0
SpiceJet,2000'Q4,1.0,public,IN,India,SG,100.0,-50.0
Kenya Airlines,2000'Q4,291.0,public,KE,Africa,KQ,21.0,12.0
Comair,2000'Q4,144.0,public,ZA,Africa,MN,43.0,17.0
Emirates,2000'Q4,1882.0,private,AE,Middle East,EK,24.0,17.0
Aeroflot,2000'Q4,1407.0,"taken private 2023, war",RU,Russia,SU,21.0,14.0
American Airlines,2001'Q1,19520.0,public,US,North America,AA,7.0,9.0
Delta Air Lines,2001'Q1,16026.0,public,US,North America,DL,0.0,13.0
Southwest Airlines,2001'Q1,5626.0,public,US,North America,WN,14.0,22.0
United Airlines,2001'Q1,18549.0,public,US,North America,UA,1.0,5.0
Alaska Air,2001'Q1,2184.0,public,US,North America,AS,4.0,6.0
JetBlue,2001'Q1,159.0,public,US,North America,B6,100.0,12.0
Hawaiian,2001'Q1,608.0,public,US,North America,HA,18.0,2.0
SkyWest,2001'Q1,549.0,public,US,North America,OO,12.0,20.0
Northwest Airlines,2001'Q1,10906.0,merged with Delta 2008,US,North America,NW,5.0,7.0
Air Canada,2001'Q1,6184.0,public,CA,North America,AC,28.0,10.0
WestJet Airlines,2001'Q1,241.0,public,CA,North America,WS,52.0,24.0
IAG,2001'Q1,13150.0,public,EU,Europe,IAG,-7.0,11.0
Air France-KLM,2001'Q1,12150.0,public,EU,Europe,AF/KL,-6.0,13.0
Ryanair,2001'Q1,459.0,public,EU,Europe,FR,23.0,36.0
Deutsche Lufthansa,2001'Q1,15150.0,public,EU,Europe,LH,-7.0,13.0
Finnair,2001'Q1,1299.0,public,EU,Europe,AY,-13.0,14.0
Singapore Airlines,2001'Q1,5528.0,public,SG,Asia Pacific,SQ,1.0,24.0
Qantas Airways,2001'Q1,5780.0,public,AU,Asia Pacific,QF,-3.0,27.0
Japan Airlines,2001'Q1,13333.0,public,JP,Asia Pacific,JL,-10.0,9.0
ANA Holdings,2001'Q1,10007.0,public,JP,Asia Pacific,NH,-10.0,10.0
Korean Air,2001'Q1,4518.0,public,KR,Asia Pacific,KE,2.0,4.0
Asiana Airlines,2001'Q1,1668.0,public,KR,Asia Pacific,OZ,2.0,0.0
Cathay Pacific,2001'Q1,4324.0,public,HK,Asia Pacific,CX,12.0,24.0
LATAM Airlines,2001'Q1,1442.0,public,CL,Latin America,LA,10.0,9.0
China Eastern,2001'Q1,1393.0,public,CN,China,MU,4.0,29.0
China Southern,2001'Q1,1885.0,public,CN,China,CZ,13.0,20.0
Hainan Airlines,2001'Q1,314.0,public,CN,China,HU,30.0,30.0
SpiceJet,2001'Q1,1.0,public,IN,India,SG,100.0,-50.0
Kenya Airlines,2001'Q1,299.0,public,KE,Africa,KQ,19.0,11.0
Comair,2001'Q1,144.0,public,ZA,Africa,MN,32.0,15.0
Emirates,2001'Q1,1943.0,private,AE,Middle East,EK,21.0,16.0
Aeroflot,2001'Q1,1445.0,"taken private 2023, war",RU,Russia,SU,18.0,13.0
American Airlines,2001'Q2,19336.0,public,US,North America,AA,4.0,5.0
Delta Air Lines,2001'Q2,15310.0,public,US,North America,DL,-6.0,9.0
Southwest Airlines,2001'Q2,5602.0,public,US,North America,WN,9.0,20.0
United Airlines,2001'Q2,17745.0,public,US,North America,UA,-5.0,1.0
Alaska Air,2001'Q2,2173.0,public,US,North America,AS,2.0,5.0
JetBlue,2001'Q2,213.0,public,US,North America,B6,100.0,12.0
Hawaiian,2001'Q2,609.0,public,US,North America,HA,12.0,1.0
SkyWest,2001'Q2,566.0,public,US,North America,OO,13.0,19.0
Northwest Airlines,2001'Q2,10573.0,merged with Delta 2008,US,North America,NW,0.0,4.0
Air Canada,2001'Q2,6160.0,public,CA,North America,AC,18.0,6.0
WestJet Airlines,2001'Q2,261.0,public,CA,North America,WS,46.0,24.0
IAG,2001'Q2,12700.0,public,EU,Europe,IAG,-9.0,11.0
Air France-KLM,2001'Q2,12000.0,public,EU,Europe,AF/KL,-5.0,12.0
Ryanair,2001'Q2,487.0,public,EU,Europe,FR,24.0,36.0
Deutsche Lufthansa,2001'Q2,14900.0,public,EU,Europe,LH,-7.0,12.0
Finnair,2001'Q2,1359.0,public,EU,Europe,AY,-2.0,12.0
Singapore Airlines,2001'Q2,5391.0,public,SG,Asia Pacific,SQ,-2.0,22.0
Qantas Airways,2001'Q2,5596.0,public,AU,Asia Pacific,QF,-6.0,27.0
Japan Airlines,2001'Q2,12914.0,public,JP,Asia Pacific,JL,-11.0,7.0
ANA Holdings,2001'Q2,9686.0,public,JP,Asia Pacific,NH,-11.0,9.0
Korean Air,2001'Q2,4503.0,public,KR,Asia Pacific,KE,1.0,3.0
Asiana Airlines,2001'Q2,1676.0,public,KR,Asia Pacific,OZ,2.0,0.0
Cathay Pacific,2001'Q2,4184.0,public,HK,Asia Pacific,CX,4.0,22.0
LATAM Airlines,2001'Q2,1442.0,public,CL,Latin America,LA,7.0,9.0
China Eastern,2001'Q2,1418.0,public,CN,China,MU,5.0,26.0
China Southern,2001'Q2,1936.0,public,CN,China,CZ,13.0,20.0
Hainan Airlines,2001'Q2,343.0,public,CN,China,HU,34.0,31.0
SpiceJet,2001'Q2,1.0,public,IN,India,SG,100.0,-50.0
Kenya Airlines,2001'Q2,307.0,public,KE,Africa,KQ,16.0,10.0
Comair,2001'Q2,144.0,public,ZA,Africa,MN,21.0,13.0
Emirates,2001'Q2,2004.0,private,AE,Middle East,EK,18.0,16.0
Aeroflot,2001'Q2,1482.0,"taken private 2023, war",RU,Russia,SU,16.0,12.0
American Airlines,2001'Q3,19153.0,public,US,North America,AA,0.0,1.0
Delta Air Lines,2001'Q3,14595.0,public,US,North America,DL,-11.0,5.0
Southwest Airlines,2001'Q3,5579.0,public,US,North America,WN,4.0,19.0
United Airlines,2001'Q3,16942.0,public,US,North America,UA,-11.0,-4.0
Alaska Air,2001'Q3,2163.0,public,US,North America,AS,0.0,5.0
JetBlue,2001'Q3,266.0,public,US,North America,B6,100.0,12.0
Hawaiian,2001'Q3,610.0,public,US,North America,HA,7.0,0.0
SkyWest,2001'Q3,584.0,public,US,North America,OO,13.0,18.0
Northwest Airlines,2001'Q3,10239.0,merged with Delta 2008,US,North America,NW,-6.0,1.0
Air Canada,2001'Q3,6137.0,public,CA,North America,AC,8.0,2.0
WestJet Airlines,2001'Q3,281.0,public,CA,North America,WS,41.0,23.0
IAG,2001'Q3,12250.0,public,EU,Europe,IAG,-11.0,10.0
Air France-KLM,2001'Q3,11850.0,public,EU,Europe,AF/KL,-5.0,11.0
Ryanair,2001'Q3,516.0,public,EU,Europe,FR,25.0,36.0
Deutsche Lufthansa,2001'Q3,14650.0,public,EU,Europe,LH,-7.0,12.0
Finnair,2001'Q3,1419.0,public,EU,Europe,AY,9.0,10.0
Singapore Airlines,2001'Q3,5255.0,public,SG,Asia Pacific,SQ,-6.0,21.0
Qantas Airways,2001'Q3,5413.0,public,AU,Asia Pacific,QF,-9.0,27.0
Japan Airlines,2001'Q3,12496.0,public,JP,Asia Pacific,JL,-11.0,6.0
ANA Holdings,2001'Q3,9364.0,public,JP,Asia Pacific,NH,-12.0,8.0
Korean Air,2001'Q3,4487.0,public,KR,Asia Pacific,KE,0.0,2.0
Asiana Airlines,2001'Q3,1685.0,public,KR,Asia Pacific,OZ,2.0,0.0
Cathay Pacific,2001'Q3,4044.0,public,HK,Asia Pacific,CX,-4.0,21.0
LATAM Airlines,2001'Q3,1443.0,public,CL,Latin America,LA,4.0,8.0
China Eastern,2001'Q3,1443.0,public,CN,China,MU,6.0,24.0
China Southern,2001'Q3,1988.0,public,CN,China,CZ,12.0,19.0
Hainan Airlines,2001'Q3,371.0,public,CN,China,HU,37.0,31.0
SpiceJet,2001'Q3,1.0,public,IN,India,SG,100.0,-50.0
Kenya Airlines,2001'Q3,315.0,public,KE,Africa,KQ,13.0,9.0
Comair,2001'Q3,144.0,public,ZA,Africa,MN,11.0,12.0
Emirates,2001'Q3,2065.0,private,AE,Middle East,EK,16.0,15.0
Aeroflot,2001'Q3,1520.0,"taken private 2023, war",RU,Russia,SU,13.0,11.0
American Airlines,2001'Q4,18969.0,public,US,North America,AA,-4.0,-2.0
Delta Air Lines,2001'Q4,13879.0,public,US,North America,DL,-17.0,1.0
Southwest Airlines,2001'Q4,5555.0,public,US,North America,WN,-2.0,17.0
United Airlines,2001'Q4,16138.0,public,US,North America,UA,-17.0,-8.0
Alaska Air,2001'Q4,2153.0,public,US,North America,AS,-2.0,4.0
JetBlue,2001'Q4,320.0,public,US,North America,B6,100.0,12.0
Hawaiian,2001'Q4,612.0,public,US,North America,HA,1.0,-1.0
SkyWest,2001'Q4,602.0,public,US,North America,OO,13.0,17.0
Northwest Airlines,2001'Q4,9905.0,merged with Delta 2008,US,North America,NW,-12.0,-2.0
Air Canada,2001'Q4,6113.0,public,CA,North America,AC,-2.0,-2.0
WestJet Airlines,2001'Q4,300.0,public,CA,North America,WS,35.0,23.0
IAG,2001'Q4,11800.0,public,EU,Europe,IAG,-13.0,9.0
Air France-KLM,2001'Q4,11700.0,public,EU,Europe,AF/KL,-5.0,10.0
Ryanair,2001'Q4,544.0,public,EU,Europe,FR,26.0,36.0
Deutsche Lufthansa,2001'Q4,14400.0,public,EU,Europe,LH,-6.0,11.0
Finnair,2001'Q4,1479.0,public,EU,Europe,AY,19.0,9.0
Singapore Airlines,2001'Q4,5118.0,public,SG,Asia Pacific,SQ,-10.0,19.0
Qantas Airways,2001'Q4,5229.0,public,AU,Asia Pacific,QF,-12.0,27.0
Japan Airlines,2001'Q4,12077.0,public,JP,Asia Pacific,JL,-12.0,5.0
ANA Holdings,2001'Q4,9043.0,public,JP,Asia Pacific,NH,-12.0,7.0
Korean Air,2001'Q4,4472.0,public,KR,Asia Pacific,KE,-1.0,1.0
Asiana Airlines,2001'Q4,1693.0,public,KR,Asia Pacific,OZ,2.0,0.0
Cathay Pacific,2001'Q4,3904.0,public,HK,Asia Pacific,CX,-13.0,19.0
LATAM Airlines,2001'Q4,1443.0,public,CL,Latin America,LA,0.0,8.0
China Eastern,2001'Q4,1468.0,public,CN,China,MU,7.0,22.0
China Southern,2001'Q4,2039.0,public,CN,China,CZ,11.0,19.0
Hainan Airlines,2001'Q4,399.0,public,CN,China,HU,40.0,31.0
SpiceJet,2001'Q4,1.0,public,IN,India,SG,-7.0,-50.0
Kenya Airlines,2001'Q4,323.0,public,KE,Africa,KQ,11.0,8.0
Comair,2001'Q4,144.0,public,ZA,Africa,MN,0.0,10.0
Emirates,2001'Q4,2126.0,private,AE,Middle East,EK,13.0,14.0
Aeroflot,2001'Q4,1558.0,"taken private 2023, war",RU,Russia,SU,11.0,10.0
American Airlines,2002'Q1,18582.0,public,US,North America,AA,-5.0,-2.0
Delta Air Lines,2002'Q1,13876.0,public,US,North America,DL,-13.0,1.0
Southwest Airlines,2002'Q1,5547.0,public,US,North America,WN,-1.0,16.0
United Airlines,2002'Q1,16059.0,public,US,North America,UA,-13.0,-9.0
Alaska Air,2002'Q1,2171.0,public,US,North America,AS,-1.0,4.0
JetBlue,2002'Q1,399.0,public,US,North America,B6,100.0,14.0
Hawaiian,2002'Q1,617.0,public,US,North America,HA,1.0,-2.0
SkyWest,2002'Q1,645.0,public,US,North America,OO,17.0,19.0
Northwest Airlines,2002'Q1,9923.0,merged with Delta 2008,US,North America,NW,-9.0,-1.0
Air Canada,2002'Q1,6155.0,public,CA,North America,AC,0.0,-1.0
WestJet Airlines,2002'Q1,333.0,public,CA,North America,WS,37.0,23.0
IAG,2002'Q1,11725.0,public,EU,Europe,IAG,-11.0,10.0
Air France-KLM,2002'Q1,12050.0,public,EU,Europe,AF/KL,-1.0,10.0
Ryanair,2002'Q1,638.0,public,EU,Europe,FR,37.0,37.0
Deutsche Lufthansa,2002'Q1,14800.0,public,EU,Europe,LH,-2.0,11.0
Finnair,2002'Q1,1545.0,public,EU,Europe,AY,19.0,9.0
Singapore Airlines,2002'Q1,5327.0,public,SG,Asia Pacific,SQ,-3.0,19.0
Qantas Airways,2002'Q1,5521.0,public,AU,Asia Pacific,QF,-4.0,23.0
Japan Airlines,2002'Q1,13393.0,public,JP,Asia Pacific,JL,2.0,5.0
ANA Holdings,2002'Q1,9312.0,public,JP,Asia Pacific,NH,-6.0,6.0
Korean Air,2002'Q1,4715.0,public,KR,Asia Pacific,KE,4.0,3.0
Asiana Airlines,2002'Q1,1813.0,public,KR,Asia Pacific,OZ,9.0,0.0
Cathay Pacific,2002'Q1,3989.0,public,HK,Asia Pacific,CX,-7.0,21.0
LATAM Airlines,2002'Q1,1449.0,public,CL,Latin America,LA,0.0,8.0
China Eastern,2002'Q1,1503.0,public,CN,China,MU,8.0,21.0
China Southern,2002'Q1,2074.0,public,CN,China,CZ,10.0,20.0
Hainan Airlines,2002'Q1,445.0,public,CN,China,HU,41.0,31.0
SpiceJet,2002'Q1,1.0,public,IN,India,SG,-25.0,-50.0
Kenya Airlines,2002'Q1,332.0,public,KE,Africa,KQ,11.0,8.0
Comair,2002'Q1,139.0,public,ZA,Africa,MN,-3.0,8.0
Emirates,2002'Q1,2291.0,private,AE,Middle East,EK,17.0,14.0
Aeroflot,2002'Q1,1563.0,"taken private 2023, war",RU,Russia,SU,8.0,12.0
American Airlines,2002'Q2,18195.0,public,US,North America,AA,-6.0,-2.0
Delta Air Lines,2002'Q2,13873.0,public,US,North America,DL,-9.0,2.0
Southwest Airlines,2002'Q2,5538.0,public,US,North America,WN,-1.0,16.0
United Airlines,2002'Q2,15980.0,public,US,North America,UA,-9.0,-10.0
Alaska Air,2002'Q2,2188.0,public,US,North America,AS,1.0,4.0
JetBlue,2002'Q2,478.0,public,US,North America,B6,100.0,16.0
Hawaiian,2002'Q2,622.0,public,US,North America,HA,2.0,-3.0
SkyWest,2002'Q2,688.0,public,US,North America,OO,21.0,20.0
Northwest Airlines,2002'Q2,9941.0,merged with Delta 2008,US,North America,NW,-6.0,-1.0
Air Canada,2002'Q2,6198.0,public,CA,North America,AC,1.0,1.0
WestJet Airlines,2002'Q2,365.0,public,CA,North America,WS,39.0,24.0
IAG,2002'Q2,11650.0,public,EU,Europe,IAG,-8.0,11.0
Air France-KLM,2002'Q2,12400.0,public,EU,Europe,AF/KL,4.0,10.0
Ryanair,2002'Q2,731.0,public,EU,Europe,FR,48.0,38.0
Deutsche Lufthansa,2002'Q2,15200.0,public,EU,Europe,LH,2.0,11.0
Finnair,2002'Q2,1611.0,public,EU,Europe,AY,19.0,9.0
Singapore Airlines,2002'Q2,5537.0,public,SG,Asia Pacific,SQ,3.0,18.0
Qantas Airways,2002'Q2,5812.0,public,AU,Asia Pacific,QF,5.0,20.0
