Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,Spirit Airlines,Allegiant,Hawaiian,SkyWest,Continental Airlines,Northwest Airlines,TWA,America West Airlines,US Airways,Air Canada,WestJet Airlines,Exchange Income Corporation,IAG,British Airways,Iberia,Air France-KLM,Air France,KLM Royal Dutch,Ryanair,easyJet,Deutsche Lufthansa,Norwegian Air Shuttle,Finnair,Wizz Air,Singapore Airlines,Qantas Airways,Japan Airlines,ANA Holdings,Korean Air,Asiana Airlines,Cathay Pacific,Copa Holdings,Gol Linhas Aereas,LATAM Airlines,LAN Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Spring Airlines,Juneyao Airlines,Indigo,SpiceJet,Jet Airways,Kenya Airlines,Comair,Emirates,Qatar Airways,Aeroflot,Turkish Airlines,Air Arabia,Jazeera Airways,Royal Jordanian,Flynas
Status,public,public,public,public,public,public,public,public,public,public,merged with United 2010,merged with Delta 2008,"bankrupt 2001, acquired by AA",Merged with US Airways 2005,acquired by AA 2013,public,public,public,public,"merged with Iberia, now IAG","merged with BA, now IAG",public,merged with KLM,merged with AF,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,now part of LATAM,public,public,public,public,public,public,public,public,public,public,public,private,private,"taken private 2023, war",public,public,public,public,public
Country,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,CA,CA,CA,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,SG,AU,JP,JP,KR,KR,HK,PA,BR,CL,CL,CN,CN,CN,CN,CN,CN,IN,IN,IN,KE,ZA,AE,QA,RU,TR,AE,KW,JO,SA
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,Latin America,Latin America,Latin America,China,China,China,China,China,China,India,India,India,Africa,Africa,Middle East,Middle East,Russia,Turkey,Middle East,Middle East,Middle East,Middle East
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA,AA,DL,WN,UA,AS,B6,NK,G4,HA,OO,CO,NW,TW,HP,US,AC,WS,,IAG,BA,IB,AF/KL,AF,KL,FR,U2,LH,DY,AY,W6,SQ,QF,JL,NH,KE,OZ,CX,CM,G3,LA,,CA,MU,CZ,HU,9C,HO,6E,SG,9W,KQ,MN,EK,QR,SU,TK,G9,J9,RJ,XY
Revenue Growth YoY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000'Q1,4%,8%,15%,4%,9%,,,,17%,20%,,12%,2%,,,22%,68%,,-3%,,,-3%,,,14%,,-4%,,-3%,,15%,15%,9%,19%,9%,,9%,,,14%,,,26%,11%,32%,,,,100%,,19%,100%,18%,,-8%,,,,,
2000'Q2,6%,7%,17%,5%,8%,,,,19%,17%,,11%,2%,,,27%,65%,,-4%,,,-4%,,,17%,,-5%,,-10%,,11%,10%,3%,9%,7%,,13%,,,14%,,,18%,12%,31%,,,,100%,,20%,100%,20%,,2%,,,,,
2000'Q3,9%,6%,18%,6%,6%,,,,22%,14%,,11%,2%,,,32%,61%,,-5%,,,-5%,,,19%,,-6%,,-17%,,8%,5%,-3%,0%,5%,,16%,,,14%,,,11%,13%,29%,,,,100%,,21%,100%,22%,,11%,,,,,
2000'Q4,11%,5%,19%,7%,5%,,,,24%,12%,,11%,,,,38%,57%,,-6%,,,-6%,,,22%,,-8%,,-24%,,5%,0%,-9%,-10%,3%,,20%,,,14%,,,3%,14%,27%,,,,100%,,21%,43%,24%,,21%,,,,,
2001'Q1,7%,0%,14%,1%,4%,100%,,,18%,12%,,5%,,,,28%,52%,,-7%,,,-6%,,,23%,,-7%,,-13%,,1%,-3%,-10%,-10%,2%,2%,12%,,,10%,,,4%,13%,30%,,,,100%,,19%,32%,21%,,18%,,,,,
2001'Q2,4%,-6%,9%,-5%,2%,100%,,,12%,13%,,0%,,,,18%,46%,,-9%,,,-5%,,,24%,,-7%,,-2%,,-2%,-6%,-11%,-11%,1%,2%,4%,,,7%,,,5%,13%,34%,,,,100%,,16%,21%,18%,,16%,,,,,
2001'Q3,0%,-11%,4%,-11%,0%,100%,,,7%,13%,,-6%,,,,8%,41%,,-11%,,,-5%,,,25%,,-7%,,9%,,-6%,-9%,-11%,-12%,0%,2%,-4%,,,4%,,,6%,12%,37%,,,,100%,,13%,11%,16%,,13%,,,,,
2001'Q4,-4%,-17%,-2%,-17%,-2%,100%,,,1%,13%,,-12%,,,,-2%,35%,,-13%,,,-5%,,,26%,,-6%,,19%,,-10%,-12%,-12%,-12%,-1%,2%,-13%,,,0%,,,7%,11%,40%,,,,-7%,,11%,0%,13%,,11%,,,,,
2002'Q1,-5%,-13%,-1%,-13%,-1%,100%,,,1%,17%,,-9%,,,,0%,37%,,-11%,,,-1%,,,37%,,-2%,,19%,,-3%,-4%,2%,-6%,4%,9%,-7%,,,0%,,,8%,10%,41%,,,,-25%,,11%,-3%,17%,,8%,,,,,
2002'Q2,-6%,-9%,-1%,-9%,1%,100%,,,2%,21%,,-6%,,,,1%,39%,,-8%,,,4%,,,48%,,2%,,19%,,3%,5%,16%,0%,10%,15%,-2%,,,1%,,,8%,9%,43%,,,,-30%,,11%,-7%,22%,,6%,,,,,
2002'Q3,-7%,-4%,-1%,-6%,2%,100%,,,3%,25%,,-2%,,,,2%,41%,,-5%,,,8%,,,58%,,7%,,18%,,10%,14%,30%,6%,16%,22%,3%,,,1%,,,9%,8%,44%,,,,-30%,,11%,-10%,27%,,4%,,,,,
2002'Q4,-8%,0%,-1%,-2%,3%,98%,,,3%,29%,,1%,,,,3%,43%,,-3%,,,12%,,,69%,,11%,,18%,,16%,22%,44%,12%,22%,28%,9%,,,2%,,,9%,7%,46%,,,,-30%,,11%,-13%,31%,,1%,,,,,
2003'Q1,-6%,1%,1%,-3%,5%,88%,,,-16%,25%,,1%,,,,3%,46%,,0%,,,12%,,,62%,,13%,100%,17%,,12%,21%,34%,13%,16%,20%,4%,,100%,4%,,,9%,4%,37%,,,,-30%,,11%,1%,32%,,4%,,,,,
2003'Q2,-4%,2%,3%,-4%,7%,78%,,,-30%,22%,,1%,,,,3%,49%,,3%,,,12%,,,56%,,16%,100%,17%,,7%,21%,25%,14%,10%,13%,0%,,100%,7%,,,8%,2%,29%,,,,-30%,,10%,16%,34%,,6%,,,,,
