Airline,Date,Revenue,Status,Country,Region,IATA
American Airlines,2000'Q1,4.0,public,US,North America,AA
Delta Air Lines,2000'Q1,8.0,public,US,North America,DL
Southwest Airlines,2000'Q1,15.0,public,US,North America,WN
United Airlines,2000'Q1,4.0,public,US,North America,UA
Alaska Air,2000'Q1,9.0,public,US,North America,AS
SkyWest,2000'Q1,20.0,public,US,North America,OO
Northwest Airlines,2000'Q1,12.0,merged with Delta 2008,US,North America,NW
TWA,2000'Q1,2.0,"bankrupt 2001, acquired by AA",US,North America,TW
Air Canada,2000'Q1,22.0,public,CA,North America,AC
Air France-KLM,2000'Q1,3.0,public,EU,Europe,AF/KL
Ryanair,2000'Q1,14.0,public,EU,Europe,FR
Finnair,2000'Q1,-3.0,public,EU,Europe,AY
Singapore Airlines,2000'Q1,15.0,public,SG,Asia Pacific,SQ
Qantas Airways,2000'Q1,15.0,public,AU,Asia Pacific,QF
Cathay Pacific,2000'Q1,9.0,public,HK,Asia Pacific,CX
LATAM Airlines,2000'Q1,14.0,public,CL,Latin America,LA
China Eastern,2000'Q1,26.0,public,CN,China,MU
China Southern,2000'Q1,11.0,public,CN,China,CZ
Hainan Airlines,2000'Q1,32.0,public,CN,China,HU
Aeroflot,2000'Q1,-8.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2000'Q2,6.0,public,US,North America,AA
Delta Air Lines,2000'Q2,7.0,public,US,North America,DL
Southwest Airlines,2000'Q2,17.0,public,US,North America,WN
United Airlines,2000'Q2,5.0,public,US,North America,UA
Alaska Air,2000'Q2,8.0,public,US,North America,AS
SkyWest,2000'Q2,17.0,public,US,North America,OO
Northwest Airlines,2000'Q2,11.0,merged with Delta 2008,US,North America,NW
TWA,2000'Q2,2.0,"bankrupt 2001, acquired by AA",US,North America,TW
Air Canada,2000'Q2,27.0,public,CA,North America,AC
Air France-KLM,2000'Q2,5.0,public,EU,Europe,AF/KL
Ryanair,2000'Q2,17.0,public,EU,Europe,FR
Finnair,2000'Q2,-10.0,public,EU,Europe,AY
Singapore Airlines,2000'Q2,11.0,public,SG,Asia Pacific,SQ
Qantas Airways,2000'Q2,10.0,public,AU,Asia Pacific,QF
Cathay Pacific,2000'Q2,13.0,public,HK,Asia Pacific,CX
LATAM Airlines,2000'Q2,14.0,public,CL,Latin America,LA
China Eastern,2000'Q2,18.0,public,CN,China,MU
China Southern,2000'Q2,12.0,public,CN,China,CZ
Hainan Airlines,2000'Q2,31.0,public,CN,China,HU
Aeroflot,2000'Q2,2.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2000'Q3,9.0,public,US,North America,AA
Delta Air Lines,2000'Q3,6.0,public,US,North America,DL
Southwest Airlines,2000'Q3,18.0,public,US,North America,WN
United Airlines,2000'Q3,6.0,public,US,North America,UA
Alaska Air,2000'Q3,6.0,public,US,North America,AS
SkyWest,2000'Q3,14.0,public,US,North America,OO
Northwest Airlines,2000'Q3,11.0,merged with Delta 2008,US,North America,NW
TWA,2000'Q3,2.0,"bankrupt 2001, acquired by AA",US,North America,TW
Air Canada,2000'Q3,32.0,public,CA,North America,AC
Air France-KLM,2000'Q3,8.0,public,EU,Europe,AF/KL
Ryanair,2000'Q3,19.0,public,EU,Europe,FR
Finnair,2000'Q3,-17.0,public,EU,Europe,AY
Singapore Airlines,2000'Q3,8.0,public,SG,Asia Pacific,SQ
Qantas Airways,2000'Q3,5.0,public,AU,Asia Pacific,QF
Cathay Pacific,2000'Q3,16.0,public,HK,Asia Pacific,CX
LATAM Airlines,2000'Q3,14.0,public,CL,Latin America,LA
China Eastern,2000'Q3,11.0,public,CN,China,MU
China Southern,2000'Q3,13.0,public,CN,China,CZ
Hainan Airlines,2000'Q3,29.0,public,CN,China,HU
Aeroflot,2000'Q3,11.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2000'Q4,11.0,public,US,North America,AA
Delta Air Lines,2000'Q4,5.0,public,US,North America,DL
Southwest Airlines,2000'Q4,19.0,public,US,North America,WN
United Airlines,2000'Q4,7.0,public,US,North America,UA
