Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,Spirit Airlines,Allegiant,Hawaiian,SkyWest,Continental Airlines,Northwest Airlines,TWA,America West Airlines,US Airways,Air Canada,WestJet Airlines,Exchange Income Corporation,IAG,British Airways,Iberia,Air France-KLM,Air France,KLM Royal Dutch,Ryanair,easyJet,Deutsche Lufthansa,Norwegian Air Shuttle,Finnair,Wizz Air,Singapore Airlines,Qantas Airways,Japan Airlines,ANA Holdings,Korean Air,Asiana Airlines,Cathay Pacific,Copa Holdings,Gol Linhas Aereas,LATAM Airlines,LAN Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Spring Airlines,Juneyao Airlines,Indigo,SpiceJet,Jet Airways,Kenya Airlines,Comair,Emirates,Qatar Airways,Aeroflot,Turkish Airlines,Air Arabia,Jazeera Airways,Royal Jordanian,Flynas
Status,public,public,public,public,public,public,public,public,public,public,merged with United 2010,merged with Delta 2008,"bankrupt 2001, acquired by AA",Merged with US Airways 2005,acquired by AA 2013,public,public,public,public,"merged with Iberia, now IAG","merged with BA, now IAG",public,merged with KLM,merged with AF,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,now part of LATAM,public,public,public,public,public,public,public,public,public,public,public,private,private,"taken private 2023, war",public,public,public,public,public
Country,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,CA,CA,CA,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,EU,SG,AU,JP,JP,KR,KR,HK,PA,BR,CL,CL,CN,CN,CN,CN,CN,CN,IN,IN,IN,KE,ZA,AE,QA,RU,TR,AE,KW,JO,SA
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,Latin America,Latin America,Latin America,China,China,China,China,China,China,India,India,India,Africa,Africa,Middle East,Middle East,Russia,Turkey,Middle East,Middle East,Middle East,Middle East
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA Code,AA,DL,WN,UA,AS,B6,NK,G4,HA,OO,CO,NW,TW,HP,US,AC,WS,,IAG,BA,IB,AF/KL,AF,KL,FR,U2,LH,DY,AY,W6,SQ,QF,JL,NH,KE,OZ,CX,CM,G3,LA,,CA,MU,CZ,HU,9C,HO,6E,SG,9W,KQ,MN,EK,QR,SU,TK,G9,J9,RJ,XY
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997'Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997'Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997'Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997'Q4,"16,957 M","14,057 M","3,817 M","17,378 M","1,739 M",,,,404 M,266 M,,"10,226 M","3,328 M",,,"3,910 M",,,"14,300 M",,,"12,800 M",,,249 M,,"16,300 M",,"1,498 M",,"4,954 M","5,816 M","11,972 M","8,179 M","2,651 M",,"4,030 M",,,,,,"1,071 M","1,566 M",,,,,,,194 M,,"1,207 M",,,,,,,
1998'Q1,"17,097 M","14,192 M","3,904 M","17,424 M","1,779 M",,,,410 M,297 M,,"9,931 M","3,311 M",,,"3,903 M",,,"14,425 M",,,"12,925 M",,,266 M,,"16,500 M",,"1,514 M",,"4,859 M","5,613 M","12,280 M","8,358 M","2,977 M",,"3,903 M",,,,,,"1,052 M","1,539 M",,,,,,,197 M,,"1,233 M",,,,,,,
1998'Q2,"17,237 M","14,327 M","3,990 M","17,470 M","1,819 M",,,,415 M,327 M,,"9,636 M","3,294 M",,,"3,896 M",,,"14,550 M",,,"13,050 M",,,283 M,,"16,700 M",,"1,531 M",,"4,765 M","5,410 M","12,588 M","8,536 M","3,304 M",,"3,775 M",,,,,,"1,033 M","1,511 M",,,,,,,199 M,,"1,260 M",,,,,,,
1998'Q3,"17,376 M","14,462 M","4,077 M","17,515 M","1,858 M",,,,421 M,358 M,,"9,340 M","3,276 M",,,"3,888 M",,,"14,675 M",,,"13,175 M",,,300 M,,"16,900 M",,"1,547 M",,"4,671 M","5,206 M","12,895 M","8,715 M","3,630 M",,"3,647 M",,,,,,"1,014 M","1,484 M",,,,,,,201 M,,"1,286 M",,,,,,,
1998'Q4,"17,516 M","14,597 M","4,164 M","17,561 M","1,898 M",,,,426 M,389 M,,"9,045 M","3,259 M",,,"3,881 M",82 M,,"14,800 M",,,"13,300 M",,,318 M,,"17,100 M",,"1,563 M",,"4,576 M","5,003 M","13,203 M","8,893 M","3,956 M",,"3,520 M",,,,,,995 M,"1,457 M",168 M,,,,,,204 M,13 M,"1,313 M",,"1,403 M",,,,,
1999'Q1,"17,570 M","14,920 M","4,307 M","17,678 M","1,944 M",,,,442 M,410 M,,"9,317 M","3,272 M",,,"4,038 M",97 M,,"14,700 M",,,"13,250 M",,,327 M,,"17,000 M",,"1,580 M",,"4,781 M","5,246 M","13,678 M","9,527 M","4,065 M",,"3,571 M",,,,,,"1,078 M","1,494 M",182 M,,,,,,213 M,35 M,"1,364 M",,"1,344 M",,,,,
1999'Q2,"17,623 M","15,243 M","4,450 M","17,794 M","1,990 M",,,,458 M,432 M,,"9,589 M","3,284 M",,,"4,195 M",112 M,,"14,600 M",,,"13,200 M",,,336 M,,"16,900 M",,"1,597 M",,"4,985 M","5,489 M","14,153 M","10,161 M","4,174 M",,"3,623 M",,,,,,"1,162 M","1,532 M",196 M,,,,,,222 M,57 M,"1,415 M",,"1,285 M",,,,,
1999'Q3,"17,677 M","15,565 M","4,593 M","17,911 M","2,036 M",,,,473 M,453 M,,"9,861 M","3,296 M",,,"4,353 M",126 M,,"14,500 M",,,"13,150 M",,,345 M,,"16,800 M",,"1,614 M",,"5,190 M","5,732 M","14,627 M","10,794 M","4,283 M",,"3,674 M",,,,,,"1,245 M","1,569 M",210 M,,,,,,231 M,79 M,"1,467 M",,"1,225 M",,,,,
1999'Q4,"17,730 M","15,888 M","4,736 M","18,027 M","2,082 M",,,,489 M,475 M,,"10,133 M","3,309 M",,,"4,510 M",141 M,,"14,400 M",,,"13,100 M",,,354 M,,"16,700 M",,"1,631 M",,"5,394 M","5,976 M","15,102 M","11,428 M","4,392 M",,"3,726 M",,,"1,266 M",,,"1,328 M","1,606 M",225 M,,,,0 M,,240 M,101 M,"1,518 M",,"1,166 M",,,,,
