Airline,Date,Value,Status,Country,Region,IATA
American Airlines,2000'Q1,18223.0,public,US,North America,AA
Delta Air Lines,2000'Q1,16101.0,public,US,North America,DL
Southwest Airlines,2000'Q1,4964.0,public,US,North America,WN
United Airlines,2000'Q1,18358.0,public,US,North America,UA
Alaska Air,2000'Q1,2110.0,public,US,North America,AS
SkyWest,2000'Q1,489.0,public,US,North America,OO
Northwest Airlines,2000'Q1,10410.0,merged with Delta 2008,US,North America,NW
TWA,2000'Q1,2482.0,"bankrupt 2001, acquired by AA",US,North America,TW
Air Canada,2000'Q1,4934.0,public,CA,North America,AC
Air France-KLM,2000'Q1,10128.0,public,EU,Europe,AF/KL
Ryanair,2000'Q1,373.0,public,EU,Europe,FR
Finnair,2000'Q1,1533.0,public,EU,Europe,AY
Singapore Airlines,2000'Q1,5462.0,public,SG,Asia Pacific,SQ
Qantas Airways,2000'Q1,5973.0,public,AU,Asia Pacific,QF
Cathay Pacific,2000'Q1,3910.0,public,HK,Asia Pacific,CX
LATAM Airlines,2000'Q1,1310.0,public,CL,Latin America,LA
China Eastern,2000'Q1,1338.0,public,CN,China,MU
China Southern,2000'Q1,1663.0,public,CN,China,CZ
Hainan Airlines,2000'Q1,240.0,public,CN,China,HU
Aeroflot,2000'Q1,1226.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2000'Q2,18717.0,public,US,North America,AA
Delta Air Lines,2000'Q2,16315.0,public,US,North America,DL
Southwest Airlines,2000'Q2,5193.0,public,US,North America,WN
United Airlines,2000'Q2,18690.0,public,US,North America,UA
Alaska Air,2000'Q2,2138.0,public,US,North America,AS
SkyWest,2000'Q2,503.0,public,US,North America,OO
Northwest Airlines,2000'Q2,10687.0,merged with Delta 2008,US,North America,NW
TWA,2000'Q2,1654.0,"bankrupt 2001, acquired by AA",US,North America,TW
Air Canada,2000'Q2,5359.0,public,CA,North America,AC
Air France-KLM,2000'Q2,10370.0,public,EU,Europe,AF/KL
Ryanair,2000'Q2,392.0,public,EU,Europe,FR
Finnair,2000'Q2,1435.0,public,EU,Europe,AY
Singapore Airlines,2000'Q2,5529.0,public,SG,Asia Pacific,SQ
Qantas Airways,2000'Q2,5969.0,public,AU,Asia Pacific,QF
Cathay Pacific,2000'Q2,4095.0,public,HK,Asia Pacific,CX
LATAM Airlines,2000'Q2,1354.0,public,CL,Latin America,LA
China Eastern,2000'Q2,1348.0,public,CN,China,MU
China Southern,2000'Q2,1720.0,public,CN,China,CZ
Hainan Airlines,2000'Q2,255.0,public,CN,China,HU
Aeroflot,2000'Q2,1287.0,"taken private 2023, war",RU,Russia,SU
American Airlines,2000'Q3,19210.0,public,US,North America,AA
